subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z
sub-000103_ffs,9.554199886828474,6.069828436843758,13.924450018149232,5.949951955468917,0.002798261427717888,39,17,40,24,2.5,4.5,3.190412,3.2811189,-0.08286996645469086,-0.0531224003486016,0.03566007151136411
sub-000148_ffs,13.236087857371817,6.42741055193875,12.203009548980972,5.772983520559743,0.004481993254345126,39,27,32,44,2.4,3.5,3.3462107,3.3698409,-0.10715687054352316,-0.05450644405116981,-0.026768345072793003
sub-000149_ffs,8.306821385534604,4.100014954435969,13.279749156787249,6.374206376922095,0.003771673462440715,52,40,53,46,4.2,7.7,3.228087,3.2007,-0.4020004562411135,-0.020208125783653615,0.022369475029259046
sub-000159_ffs,10.760759007411492,6.193529573831622,15.648188959792545,6.233216945583514,0.0039400759404017854,12,17,15,27,1.4,2.9,3.581977,3.4693437,-0.17250042415004488,-0.03480519492326668,-0.006352867966400356
sub-000175_ffs,9.878882696837504,6.003923753525597,17.620764068371873,6.227337702527546,0.0025132828958121267,17,20,26,23,1.8,2.7,3.699242,3.61419,-0.24357575965930112,-0.018977115437144924,0.10053717354107164
sub-000183_ffs,9.113959838133038,6.4376692761130005,8.925424326323835,5.911427548955045,0.0023601317333480343,148,147,99,124,36.5,47.8,2.5068982,2.4544225,-0.1822778068917938,-0.002948844001681739,-0.055957728072256456
sub-003617_ffs,10.969155330786894,6.55173503333431,17.627669385062504,6.124313047348978,0.003839777471731261,15,23,24,24,1.6,4.3,3.754864,3.6844194,-0.2994580164901848,0.012563868752346876,0.07503642297399331
sub-009673_ffs,9.713731531113295,6.931272286393042,7.401289416959701,6.234432021388609,0.0025502258666245036,242,188,108,94,26.9,37.3,1.9035094,1.8023401,-0.083087091659467,-0.07135992177818855,0.07862748462325837
sub-010769_ffs,9.272302964855848,5.112014039419606,12.95603893412771,5.755240367359754,0.0023511104668824515,31,36,41,37,3.2,4.2,3.532448,3.4160054,-0.20262987726207182,-0.03761459829649845,0.051445885639877655
sub-012059_ffs,12.65702930271691,7.625226615312187,13.219259206920311,6.356962837937745,0.004077946013372664,31,29,32,27,4.2,6.4,3.5733135,3.5459824,-0.19472399432119772,0.0011799459163565128,-0.007795396615604012
sub-012322_ffs,11.427126913250358,5.811159709459525,16.514252998247066,6.267656193404438,0.0030848087285550306,19,30,27,32,3.4,3.6,3.5522208,3.5546837,0.019297826576067476,0.08647868801721041,0.05502900289323101
sub-016504_ffs,7.773204921044816,3.8567908375056255,10.987051321917297,6.251268458157696,0.0027781931782476905,79,70,70,79,10.2,12.0,3.0968945,3.0730846,-0.25238306861728793,0.0016725813410596849,0.06944118630329024
sub-105822_ffs,8.847746696813338,5.692944697392661,9.017127740284353,6.074744308302169,0.0026246884380814396,101,97,70,76,22.9,170.2,2.5176435,2.6546195,-0.2414088530007877,-0.030915729793703092,0.05454300541249806
sub-107738_ffs,7.919993868618752,4.318067144195808,15.022788772937131,5.979203457521672,0.002507158824091184,47,46,47,52,5.8,6.6,3.2666085,3.224487,-0.3376807173281227,-0.010486322866782723,-0.017570009483760658
sub-108142_ffs,10.71531013450961,5.93858224491661,15.965125850561352,6.004578402774122,0.003120178063304206,23,24,28,28,2.2,3.4,3.2881138,3.1924958,-0.0839842310621667,-0.016103951172233944,0.10641733091686463
sub-118003_ffs,10.291102398258039,4.928374328650186,14.381064390456654,6.204548964155843,0.0035424656491443397,25,32,26,35,2.1,2.9,3.5083735,3.3443012,-0.18828715050975475,-0.09755457992431255,-0.02647999727841154
sub-122916_ffs,13.00160265640016,7.5289225778824305,10.12622663975198,6.032318072950777,0.0037353605670542534,82,65,66,79,10.4,10.6,3.0861907,2.9105837,-0.10454716800587102,-0.05528707435986183,-0.03217200014905745
sub-125171_ffs,11.20453357012203,5.35428775435814,19.022299037373568,6.36354701291081,0.0031241921036751163,20,11,24,14,1.4,2.0,3.474224,3.4634402,-0.2040850606541278,0.003390598047624145,0.017918406340674126
sub-132674_ffs,12.408139394447192,6.949536676216831,14.860583367269001,5.747400012881174,0.004635327687596011,8,11,17,16,1.4,1.4,3.5288875,3.4645705,-0.03375657790774854,-0.07318848277575715,-0.01139746187621699
sub-136038_ffs,9.416345516590233,6.107867196218811,8.730531988822193,6.129217701737677,0.0037115164803376804,97,109,75,67,16.7,16.8,2.7068665,2.6098683,-0.025505412472499687,-0.0964677459139335,0.10480474466612302
sub-143104_ffs,8.67081140271722,4.233077222549541,10.651517811873475,6.216386114712425,0.0031594758277464544,103,63,78,80,8.1,12.4,2.997185,3.2069395,-0.34757789563777247,-0.01641843011069885,0.06732322342397257
sub-153486_ffs,9.621280582429408,5.348958441206305,19.618855364174753,6.585221656144357,0.0030009625312222765,15,10,9,14,0.9,1.5,3.7749085,3.693977,-0.16873056094580238,-0.03773969726616467,0.08360955229990501
sub-171967_ffs,8.19308440157974,4.233218058967336,13.349552153459221,6.190792311545769,0.0029387121853644794,30,18,30,26,2.6,4.2,3.4827156,3.2702837,-0.2445707333499808,0.03810721097601752,0.03310746190053364
sub-177856_ffs,13.233556028527895,6.993312275979394,17.999699794341527,6.304270066981903,0.0035910475257998602,20,12,21,19,1.8,1.9,3.470263,3.3718288,-0.1998447298957727,0.055935304909771194,0.07642953046446797
sub-182744_ffs,9.465033080408901,5.290897961088785,6.3545777431716415,5.901869094562439,0.00252514195302298,195,192,86,83,80.4,116.9,1.6547986,1.5682147,0.036611884565983396,0.033979092575614996,0.0036060510952249645
sub-185823_ffs,9.179362707922966,5.5944161636536345,10.555529353195706,6.204076278594623,0.0025099970079123526,94,92,79,92,14.2,21.5,2.8337414,2.9053845,-0.15312773689587508,-0.05342291984000791,0.08010589305890503
sub-195765_ffs,7.838015431433355,3.8401738899799054,11.881742849131525,5.760395740701973,0.004266131766355482,24,27,29,32,2.8,2.9,3.3980021,3.299998,-0.2782041016216817,0.03630836179102875,0.02654605316368341
sub-196711_ffs,11.65160127480658,6.437702096982728,13.07989003323872,5.706963767752396,0.002906149894395504,23,21,20,24,1.5,3.1,3.2454634,3.2168143,-0.05383112111382497,-0.043814194721841074,0.01706387404036313
