subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z
sub-105822_ffs,9.677132391397478,5.8008124083046715,21.270527521215847,5.811055657304792,0.0032708236439330566,2,7,7,6,0.6,0.9,3.8253815,3.6951692,-0.26681660919869576,-0.00591359438256399,0.07281992357921314
sub-107738_ffs,8.259816960551168,5.004179626214544,21.2481019721494,5.633440020386226,0.0030150292629303956,5,3,9,6,0.8,1.2,3.8888197,3.8100722,-0.35603189272924846,0.014818678570178077,-0.0017287534033652602
sub-108142_ffs,8.698092766623141,3.9025872245948294,21.95140950578765,6.017600269352403,0.003273578724865714,8,5,8,7,0.6,1.7,3.6018412,3.5555017,-0.09346155552677309,0.00888752633097899,0.10024051097624928
sub-228373_ffs,13.044532831145165,7.017012616841272,19.55168622472107,5.922807780443316,0.0028028422715798314,13,19,19,17,1.5,2.8,3.830672,3.7558498,-0.015185339307758984,0.0463907361542173,0.020578892556327492
sub-253306_ffs,12.135972985217245,6.646282821862086,23.767859434681647,6.3006541818753385,0.0032193078856530247,5,7,7,7,0.7,0.9,3.870648,3.8053455,-0.09249743240329916,0.036924416866739695,0.04031853895892986
sub-253493_ffs,8.10207312921155,3.4706530028787563,23.697091068053687,5.819560621423523,0.004097171654472593,6,1,5,9,0.6,0.9,4.158955,3.93777,-0.1705534297793848,-0.009475069990530782,0.02854601775522267
sub-257563_ffs,6.195569095653346,3.2883568920227257,21.83623928175024,6.00815714950862,0.0031840228160577356,10,11,12,12,1.0,0.9,3.6648219,3.6471872,-0.07640016205175786,0.06928619625772378,0.05403228413602138
sub-258056_ffs,8.518475402620103,5.331650927915655,22.65275491783154,6.016839685855859,0.002383523599343185,11,1,11,6,0.5,1.0,3.8316853,3.8142993,-0.16927271033261976,0.029812288084444326,0.07411260849691928
sub-262577_ffs,9.521789253661456,5.705781831392026,20.413291130695747,6.4516922187936325,0.003319434989789439,6,6,9,11,1.8,1.7,3.74575,3.7426825,-0.22140083572953295,-0.04876511791924041,-0.03043040466483339
sub-275211_ffs,11.138184474863207,6.754292056111552,19.5548718856053,6.0029290820139725,0.0031012005644699284,4,6,8,6,0.9,1.2,3.938803,3.7872555,-0.20573036502368144,-0.027631859255937953,0.025194806132404914
sub-278729_ffs,12.47509059819297,6.745769908475765,21.260413410679018,6.497262760338913,0.0022573296690320374,9,6,14,7,1.0,0.7,3.9028442,3.955687,-0.00038258046500399417,0.013658590754731642,-0.012050727857993068
sub-281888_ffs,12.69438367422629,7.069372234286026,19.197183632424213,6.709523790117623,0.0028595821520356326,15,5,17,7,0.7,1.4,3.9658546,3.8109188,-0.06238861262168857,0.01100449266732883,0.06097393812655445
