subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z
sub-000103_ffs,9.817538040353991,6.132985020755547,17.52486120010797,6.141378775802499,0.0030506474392759967,20,10,25,21,1.0,2.9,3.5068166,3.540243,-0.11425069134388165,-0.054226465133794886,0.03712197739332824
sub-000175_ffs,9.538005935547073,5.797506414974475,18.13500103882988,6.09446547081612,0.002508606738245307,19,13,18,18,1.2,2.0,3.6504593,3.6834307,-0.2837448166391057,-0.01996459500722019,0.10063331381494563
sub-000179_ffs,11.246626090787036,4.9470399155476485,21.769072352324667,5.7898333284464325,0.004300599490819802,3,3,5,4,0.5,0.5,3.6299763,3.516248,-0.12510892649744654,0.06861700626356626,0.06643209190770276
sub-000183_ffs,7.139293647550701,3.7276642644655986,19.077075693551134,6.575471975182729,0.00198838582838896,8,20,9,23,1.6,1.6,3.542487,3.4556074,-0.1413827259318135,-0.01551962416007069,-0.05566523735509021
sub-003617_ffs,10.628141833446893,6.391673424648887,20.037651013781847,5.978028100566134,0.003625801246661365,8,5,14,11,1.2,1.3,3.7678628,3.7184942,-0.30933122909133776,0.025942323008680986,0.0624096789441308
sub-009673_ffs,11.525662756919385,6.577508874930865,21.06442762958277,6.239291356203916,0.002987881163958361,8,5,10,11,0.7,1.3,3.7405553,3.780967,-0.09318155485686812,-0.08886153815366153,0.06061411474842406
sub-012059_ffs,13.015158355752119,7.667050583748759,14.220417346584746,6.352911913050481,0.003918137009002725,12,11,19,17,1.8,2.4,3.501031,3.528627,-0.17923914435835114,0.012257578984622947,-0.009435258030339556
sub-016504_ffs,11.806790658541685,6.408997973091595,22.443112155472008,6.490915269397596,0.002621258446322099,6,4,10,7,0.9,0.7,3.8417258,3.6953297,-0.2625786007961184,-0.0008271853325098,0.08823269832816817
sub-067018_ffs,10.278851963432222,5.039995276912904,16.132274467587074,5.9555000475558995,0.0036636148002228493,8,8,13,11,1.1,1.3,3.808702,3.6494825,-0.26089532652437364,-0.05732880840131252,0.07027426930916712
sub-089207_ffs,8.499437209260565,4.177523369841242,20.31242702627794,6.5426086126253,0.002272727393893976,17,15,17,20,2.1,2.0,3.8913436,3.6820166,-0.24075904689073313,-0.044545465584119905,0.030756990419770633
